ID,Nationality,Name,Age,Overall,Potential,Team,Value,Wage,Total_Point
158023,Argentina,L. Messi,['31'],94,94,FC Barcelona,€110.5M,€575K,2217
20801,Portugal,Cristiano Ronaldo,['33'],94,94,Juventus,€77M,€400K,2228
190871,Brazil,Neymar Jr,['26'],92,92,Paris Saint Germain,€108M,€300K,2150
200389,Slovenia,J. Oblak,['25'],91,93,Atlético Madrid,€75.5M,€120K,1330
192985,Belgium,K. De Bruyne,['27'],91,91,Manchester City,€93M,€350K,2279
183277,Belgium,E. Hazard,['27'],91,91,Chelsea,€93M,€325K,2143
177003,Croatia,L. Modrić,['32'],91,91,Real Madrid,€67M,€425K,2284
176580,Uruguay,L. Suárez,['31'],91,91,FC Barcelona,€80M,€450K,2349
202126,England,H. Kane,['24'],90,92,Tottenham Hotspur,€96.5M,€200K,2177
193080,Spain,De Gea,['27'],90,92,Manchester United,€62.5M,€200K,1451
188545,Poland,R. Lewandowski,['29'],90,90,FC Bayern München,€77M,€200K,2151
182493,Uruguay,D. Godín,['32'],90,90,Atlético Madrid,€44M,€120K,1936
168542,Spain,David Silva,['32'],90,90,Manchester City,€60M,€275K,2104
155862,Spain,Sergio Ramos,['32'],90,90,Real Madrid,€44M,€300K,2238
138956,Italy,G. Chiellini,['33'],90,90,Juventus,€31M,€225K,1854
215914,France,N. Kanté,['27'],89,90,Chelsea,€63M,€225K,2187
211110,Argentina,P. Dybala,['24'],89,94,Juventus,€89M,€200K,2092
209331,Egypt,M. Salah,['26'],89,89,Liverpool,€71.5M,€275K,2175
203376,Netherlands,V. van Dijk,['26'],89,91,Liverpool,€67M,€225K,2079
194765,France,A. Griezmann,['27'],89,89,Atlético Madrid,€71M,€140K,2293
192448,Germany,M. ter Stegen,['26'],89,92,FC Barcelona,€58M,€250K,1346
189511,Spain,Sergio Busquets,['29'],89,89,FC Barcelona,€51.5M,€300K,2065
182521,Germany,T. Kroos,['28'],89,89,Real Madrid,€66M,€350K,2161
179813,Uruguay,E. Cavani,['31'],89,89,Paris Saint Germain,€60M,€200K,2161
153079,Argentina,S. Agüero,['30'],89,89,Manchester City,€64.5M,€300K,2105
231747,France,K. Mbappé,['19'],88,95,Paris Saint Germain,€82M,€100K,2123
201024,Senegal,K. Koulibaly,['27'],88,90,Napoli,€58M,€130K,1692
195864,France,P. Pogba,['25'],88,91,Manchester United,€73M,€250K,2251
192119,Belgium,T. Courtois,['26'],88,89,Real Madrid,€47.5M,€225K,1306
