ID,Nationality,Name,Age,Overall,Potential,Team,Value,Wage,Total_Point
158023,Argentina,L. Messi,['27'],93,93,FC Barcelona,€100.5M,€550K,2163
20801,Portugal,Cristiano Ronaldo,['29'],92,92,Real Madrid,€79M,€375K,2215
167495,Germany,M. Neuer,['28'],90,90,FC Bayern München,€63.5M,€300K,1532
9014,Netherlands,A. Robben,['30'],90,90,FC Bayern München,€54.5M,€275K,2128
176580,Uruguay,L. Suárez,['27'],89,89,FC Barcelona,€49.5M,€300K,2266
41236,Sweden,Z. Ibrahimović,['32'],89,89,Paris Saint Germain,€34.5M,€275K,2134
41,Spain,Iniesta,['30'],89,89,FC Barcelona,€36M,€250K,2137
183277,Belgium,E. Hazard,['23'],88,90,Chelsea,€40.5M,€210K,2084
156616,France,F. Ribéry,['31'],88,88,FC Bayern München,€33M,€200K,2042
121944,Germany,B. Schweinsteiger,['29'],88,88,FC Bayern München,€39M,€200K,2304
188545,Poland,R. Lewandowski,['25'],87,89,FC Bayern München,€44M,€210K,2095
183907,Germany,J. Boateng,['25'],87,89,FC Bayern München,€35.5M,€200K,1986
177003,Croatia,L. Modrić,['28'],87,87,Real Madrid,€36.5M,€220K,2244
173731,Wales,G. Bale,['24'],87,91,Real Madrid,€42.5M,€210K,2261
168542,Spain,David Silva,['28'],87,87,Manchester City,€40M,€230K,1985
164240,Brazil,Thiago Silva,['29'],87,87,Paris Saint Germain,€29M,€190K,2147
155862,Spain,Sergio Ramos,['28'],87,87,Real Madrid,€31.5M,€220K,2118
153079,Argentina,S. Agüero,['26'],87,89,Manchester City,€45.5M,€230K,2076
121939,Germany,P. Lahm,['30'],87,87,FC Bayern München,€24.5M,€190K,2188
198710,Colombia,J. Rodríguez,['22'],86,92,Real Madrid,€35M,€190K,2116
193080,Spain,De Gea,['23'],86,89,Manchester United,€31M,€180K,1412
192119,Belgium,T. Courtois,['22'],86,90,Chelsea,€27M,€170K,1397
190871,Brazil,Neymar,['22'],86,91,FC Barcelona,€31M,€210K,2035
189596,Germany,T. Müller,['24'],86,88,FC Bayern München,€42.5M,€210K,2151
188350,Germany,M. Reus,['25'],86,88,Borussia Dortmund,€40M,€180K,2143
178603,Germany,M. Hummels,['25'],86,88,Borussia Dortmund,€35.5M,€200K,2047
176635,Germany,M. Özil,['25'],86,87,Arsenal,€44M,€190K,1952
167397,Colombia,Falcao,['28'],86,86,Manchester United,€40M,€230K,2035
139720,Belgium,V. Kompany,['28'],86,86,Manchester City,€31.5M,€220K,1959
54050,England,W. Rooney,['28'],86,86,Manchester United,€40M,€230K,2195
10535,Spain,Xavi,['34'],86,86,FC Barcelona,€15.5M,€160K,2104
192985,Belgium,K. De Bruyne,['23'],85,88,VfL Wolfsburg,€23M,€140K,2115
192318,Germany,M. Götze,['22'],85,90,FC Bayern München,€21M,€150K,2011
189511,Spain,Sergio Busquets,['25'],85,88,FC Barcelona,€20M,€170K,2026
184941,Chile,A. Sánchez,['25'],85,87,Arsenal,€26.5M,€170K,2119
183898,Argentina,Á. Di María,['26'],85,85,Manchester United,€27M,€200K,2166
182521,Germany,T. Kroos,['24'],85,88,Real Madrid,€23M,€170K,2153
181872,Chile,A. Vidal,['27'],85,87,Juventus,€23M,€190K,2265
179844,Spain,Diego Costa,['25'],85,86,Chelsea,€26.5M,€170K,1997
179813,Uruguay,E. Cavani,['27'],85,85,Paris Saint Germain,€25.5M,€200K,2080
178088,Spain,Juan Mata,['26'],85,85,Manchester United,€27M,€190K,2002
167948,France,H. Lloris,['27'],85,85,Tottenham Hotspur,€21M,€160K,1422
165153,France,K. Benzema,['26'],85,87,Real Madrid,€27M,€200K,2006
162895,Spain,Cesc Fàbregas,['27'],85,85,Chelsea,€23M,€180K,2161
146562,Spain,Santi Cazorla,['29'],85,85,Arsenal,€22.5M,€160K,2117
143001,Argentina,C. Tévez,['30'],85,85,Boca Juniors,€21M,€160K,2167
48940,Czech Republic,P. Čech,['32'],85,85,Chelsea,€18M,€170K,1361
45197,Spain,Xabi Alonso,['32'],85,85,FC Bayern München,€11.5M,€170K,2133
20289,Côte d'Ivoire,Y. Touré,['31'],85,85,Manchester City,€17M,€170K,2246
7826,Netherlands,R. van Persie,['30'],85,85,Manchester United,€21M,€170K,2020
195864,France,P. Pogba,['21'],84,91,Juventus,€18.5M,€140K,2239
188152,Brazil,Oscar,['22'],84,88,Chelsea,€21M,€150K,1987
182493,Uruguay,D. Godín,['28'],84,84,Atlético Madrid,€19M,€180K,1907
179846,Germany,S. Khedira,['27'],84,86,Real Madrid,€19.5M,€180K,2064
177610,Spain,Javi Martinez,['25'],84,85,FC Bayern München,€21M,€160K,2006
177509,Morocco,M. Benatia,['27'],84,86,FC Bayern München,€20.5M,€170K,1782
167664,Argentina,G. Higuaín,['26'],84,86,Napoli,€27M,€170K,1921
165239,France,S. Nasri,['27'],84,84,Manchester City,€23M,€180K,2021
152729,Spain,Piqué,['27'],84,87,FC Barcelona,€20.5M,€190K,1912
143745,Turkey,A. Turan,['27'],84,87,Atlético Madrid,€23M,€180K,2194
139869,Netherlands,W. Sneijder,['30'],84,84,Galatasaray,€21M,€160K,2099
138956,Italy,G. Chiellini,['29'],84,84,Juventus,€17.5M,€150K,1812
5479,Spain,Casillas,['33'],84,84,Real Madrid,€16.5M,€140K,1398
199556,Italy,M. Verratti,['21'],83,90,Paris Saint Germain,€13.5M,€110K,2154
197781,Spain,Isco,['22'],83,88,Real Madrid,€15M,€120K,1988
197445,Austria,D. Alaba,['22'],83,88,FC Bayern München,€11.5M,€120K,2256
196144,Colombia,J. Martínez,['27'],83,83,Porto,€18.5M,€150K,2063
192563,Germany,B. Leno,['22'],83,86,Bayer 04 Leverkusen,€11.5M,€100K,1412
192366,Argentina,N. Otamendi,['26'],83,86,Valencia,€16M,€120K,1993
191202,Serbia,N. Matić,['25'],83,86,Chelsea,€14.5M,€120K,2148
189505,Spain,Pedro,['26'],83,86,FC Barcelona,€18M,€160K,1979
189362,Brazil,Hulk,['27'],83,83,Zenit,€18.5M,€160K,2138
184144,Argentina,N. Gaitán,['26'],83,84,Benfica,€18M,€140K,2033
182494,Uruguay,F. Muslera,['28'],83,86,Galatasaray,€15.5M,€140K,1510
181783,Croatia,M. Mandžukić,['28'],83,83,Atlético Madrid,€17M,€160K,1972
180930,Bosnia and Herzegovina,E. Džeko,['28'],83,83,Manchester City,€17M,€160K,1936
180206,Bosnia and Herzegovina,M. Pjanić,['24'],83,85,Roma,€16.5M,€110K,2138
179944,Brazil,David Luiz,['27'],83,84,Paris Saint Germain,€14.5M,€160K,2117
174543,Chile,C. Bravo,['31'],83,83,FC Barcelona,€14M,€120K,1472
173221,Italy,A. Candreva,['27'],83,85,Lazio,€18.5M,€130K,2117
173210,Italy,C. Marchisio,['28'],83,83,Juventus,€15.5M,€150K,2228
171919,Brazil,Naldo,['31'],83,83,VfL Wolfsburg,€10M,€110K,1972
171833,England,D. Sturridge,['24'],83,86,Liverpool,€18.5M,€120K,1953
170890,France,B. Matuidi,['27'],83,85,Paris Saint Germain,€14M,€150K,2171
170481,Argentina,E. Garay,['27'],83,83,Zenit,€14.5M,€150K,1940
169416,Mexico,C. Vela,['25'],83,86,Real Sociedad,€19M,€120K,1992
168651,Croatia,I. Rakitić,['26'],83,84,FC Barcelona,€19.5M,€160K,2112
168609,Brazil,Miranda,['29'],83,83,Atlético Madrid,€12.5M,€130K,1865
168435,Italy,S. Sirigu,['27'],83,83,Paris Saint Germain,€15M,€150K,1387
167628,France,S. Ruffier,['27'],83,84,Saint-Étienne,€15M,€130K,1407
162835,Slovenia,S. Handanovič,['29'],83,83,Inter,€16M,€120K,1383
162347,Portugal,João Moutinho,['27'],83,83,Monaco,€16.5M,€110K,2241
158133,Peru,J. Farfán,['29'],83,83,Schalke 04,€14.5M,€130K,2074
150724,England,J. Hart,['27'],83,83,Manchester City,€15M,€150K,1357
148803,Netherlands,K. Huntelaar,['30'],83,83,Schalke 04,€15M,€140K,1897
146530,Brazil,Dani Alves,['31'],83,83,FC Barcelona,€10M,€140K,2196
146439,Spain,Negredo,['28'],83,83,Valencia,€17M,€140K,2010
142784,Argentina,P. Zabaleta,['29'],83,83,Manchester City,€12.5M,€130K,2100
142754,Argentina,J. Mascherano,['30'],83,83,FC Barcelona,€11.5M,€130K,2041
137186,Italy,A. Barzagli,['33'],83,83,Juventus,€7M,€100K,1727
120533,Portugal,Pepe,['31'],83,83,Real Madrid,€10M,€130K,1864
106573,Spain,Victor Valdés,['32'],83,83,Manchester United,€13M,€130K,1436
53302,Italy,D. De Rossi,['30'],83,83,Roma,€10.5M,€110K,2150
13732,England,J. Terry,['33'],83,83,Chelsea,€7M,€100K,1735
7763,Italy,A. Pirlo,['35'],83,83,New York City,€4.4M,€70K,1976
1179,Italy,G. Buffon,['36'],83,83,Juventus,€7M,€110K,1387
200949,Brazil,Lucas,['21'],82,87,Paris Saint Germain,€15M,€120K,2057
194765,France,A. Griezmann,['23'],82,88,Atlético Madrid,€16.5M,€130K,2040
193747,Spain,Koke,['22'],82,85,Atlético Madrid,€13.5M,€110K,2092
193301,France,A. Lacazette,['23'],82,86,Olympique Lyonnais,€16.5M,€130K,2048
193082,Colombia,J. Cuadrado,['26'],82,84,Chelsea,€18M,€150K,2101
192448,Germany,M. ter Stegen,['22'],82,86,FC Barcelona,€11.5M,€110K,1411
190460,Denmark,C. Eriksen,['22'],82,86,Tottenham Hotspur,€15M,€110K,2001
189358,Japan,S. Kagawa,['25'],82,84,Borussia Dortmund,€19M,€140K,1907
189242,Brazil,Coutinho,['22'],82,86,Liverpool,€15M,€100K,1943
186942,Germany,İ. Gündoğan,['23'],82,86,Borussia Dortmund,€15M,€130K,2143
186561,Wales,A. Ramsey,['23'],82,86,Arsenal,€15M,€130K,2139
184881,Algeria,S. Feghouli,['24'],82,86,Valencia,€16.5M,€110K,1992
180403,Brazil,Willian,['25'],82,84,Chelsea,€17M,€120K,1996
179784,Germany,B. Höwedes,['26'],82,83,Schalke 04,€16M,€140K,1880
176769,Brazil,Jonas,['30'],82,82,Benfica,€15M,€130K,1969
176676,Brazil,Marcelo,['26'],82,85,Real Madrid,€16M,€150K,2169
175943,Belgium,D. Mertens,['27'],82,85,Napoli,€18.5M,€130K,2028
173771,Poland,Ł. Piszczek,['29'],82,82,Borussia Dortmund,€12.5M,€120K,2136
172879,Greece,Sokratis,['26'],82,84,Borussia Dortmund,€16M,€140K,1959
172871,Belgium,J. Vertonghen,['27'],82,82,Tottenham Hotspur,€14.5M,€130K,2089
172723,Bosnia and Herzegovina,A. Begović,['27'],82,82,Stoke City,€15M,€110K,1369
171877,Slovakia,M. Hamšik,['26'],82,84,Napoli,€19.5M,€140K,2090
170369,Mexico,G. dos Santos,['25'],82,85,LA Galaxy,€19M,€140K,1948
165580,Brazil,Diego Alves,['29'],82,82,Valencia,€16M,€100K,1494
165229,France,L. Koscielny,['28'],82,82,Arsenal,€13.5M,€150K,1853
164994,Poland,J. Błaszczykowski,['28'],82,82,Borussia Dortmund,€15.5M,€150K,2123
163705,France,S. Mandanda,['29'],82,82,Olympique Marseille,€16M,€130K,1359
162409,Italy,G. Rossi,['27'],82,82,Fiorentina,€18.5M,€140K,1942
148119,Russia,I. Akinfeev,['28'],82,82,CSKA Moskva,€15.5M,€150K,1363
146954,Spain,Gabi,['30'],82,82,Atlético Madrid,€13.5M,€130K,2133
140601,Serbia,N. Vidić,['32'],82,82,Inter,€9M,€130K,1622
139068,Portugal,Nani,['27'],82,82,Sporting CP,€16.5M,€150K,1977
138449,Brazil,Kaká,['32'],82,82,Orlando City,€13M,€50K,1895
112253,France,J. Toulalan,['30'],82,82,Monaco,€10.5M,€90K,1952
106231,Spain,Aduriz,['33'],82,82,Athletic Club,€10.5M,€60K,1984
53612,Germany,P. Mertesacker,['29'],82,82,Arsenal,€12.5M,€130K,1599
48717,Brazil,Júlio César,['34'],82,82,Benfica,€10.5M,€100K,1419
20800,Portugal,Danny,['30'],82,82,Zenit,€13.5M,€130K,1976
207664,Colombia,C. Bacca,['27'],81,81,Sevilla,€13M,€110K,1962
201942,Brazil,Roberto Firmino,['22'],81,86,TSG Hoffenheim,€10.5M,€60K,1967
201535,France,R. Varane,['21'],81,88,Real Madrid,€8M,€100K,1856
193352,Switzerland,R. Rodriguez,['21'],81,86,VfL Wolfsburg,€8M,€80K,2158
193116,France,M. Gonalons,['25'],81,84,Olympique Lyonnais,€10.5M,€100K,2067
191180,Argentina,J. Pastore,['25'],81,86,Paris Saint Germain,€12M,€110K,2091
189963,Côte d'Ivoire,W. Bony,['25'],81,84,Manchester City,€13.5M,€110K,1939
189712,Netherlands,K. Strootman,['24'],81,85,Roma,€12M,€90K,2116
189513,Spain,Parejo,['25'],81,86,Valencia,€12M,€90K,2095
189509,Spain,Thiago,['23'],81,85,FC Bayern München,€10.5M,€110K,2103
189461,England,J. Wilshere,['22'],81,84,Arsenal,€9.5M,€100K,2130
189332,Spain,Jordi Alba,['25'],81,85,FC Barcelona,€11M,€110K,2199
188567,Gabon,P. Aubameyang,['25'],81,83,Borussia Dortmund,€13.5M,€110K,2023
188081,Brazil,Alex Teixeira,['24'],81,84,Shakhtar Donetsk,€13M,€100K,2044
185221,Brazil,Luiz Gustavo,['26'],81,82,VfL Wolfsburg,€10.5M,€110K,2046
184943,Brazil,Ramires,['27'],81,81,Chelsea,€10M,€120K,2182
184432,Spain,Azpilicueta,['24'],81,83,Chelsea,€10.5M,€100K,2071
