ID,Nationality,Name,Age,Overall,Potential,Team,Value,Wage,Total_Point
231747,France,K. Mbappé,['23'],91,95,Paris Saint Germain,€190.5M,€230K,2177
192985,Belgium,K. De Bruyne,['31'],91,91,Manchester City,€107.5M,€350K,2299
188545,Poland,R. Lewandowski,['33'],91,91,FC Barcelona,€84M,€420K,2205
165153,France,K. Benzema,['34'],91,91,Real Madrid,€64M,€450K,2147
158023,Argentina,L. Messi,['35'],91,91,Paris Saint Germain,€54M,€195K,2190
209331,Egypt,M. Salah,['30'],90,90,Liverpool,€115.5M,€270K,2226
192119,Belgium,T. Courtois,['30'],90,91,Real Madrid,€90M,€250K,1334
167495,Germany,M. Neuer,['36'],90,90,FC Bayern München,€13.5M,€72K,1534
20801,Portugal,Cristiano Ronaldo,['37'],90,90,Manchester United,€41M,€220K,2147
239085,Norway,E. Haaland,['21'],89,94,Manchester City,€160M,€230K,2123
212831,Brazil,Alisson,['29'],89,90,Liverpool,€79M,€190K,1437
212622,Germany,J. Kimmich,['27'],89,90,FC Bayern München,€105.5M,€130K,2283
210257,Brazil,Ederson,['28'],89,91,Manchester City,€88M,€210K,1582
208722,Senegal,S. Mané,['30'],89,89,FC Bayern München,€101M,€155K,2187
203376,Netherlands,V. van Dijk,['30'],89,89,Liverpool,€84.5M,€220K,2113
202126,England,H. Kane,['28'],89,89,Tottenham Hotspur,€105.5M,€240K,2197
200389,Slovenia,J. Oblak,['29'],89,91,Atlético Madrid,€85.5M,€100K,1405
200145,Brazil,Casemiro,['30'],89,89,Manchester United,€86M,€240K,2216
200104,Korea Republic,H. Son,['29'],89,89,Tottenham Hotspur,€101M,€240K,2137
190871,Brazil,Neymar Jr,['30'],89,89,Paris Saint Germain,€99.5M,€200K,2157
239818,Portugal,Rúben Dias,['25'],88,91,Manchester City,€107.5M,€230K,1894
230621,Italy,G. Donnarumma,['23'],88,92,Paris Saint Germain,€103.5M,€110K,1375
218667,Portugal,Bernardo Silva,['27'],88,88,Manchester City,€97.5M,€260K,2200
215914,France,N. Kanté,['31'],88,88,Chelsea,€64M,€210K,2144
210514,Portugal,João Cancelo,['28'],88,88,Manchester City,€82.5M,€250K,2262
207865,Brazil,Marquinhos,['28'],88,90,Paris Saint Germain,€92M,€170K,2082
193041,Costa Rica,K. Navas,['35'],88,88,Paris Saint Germain,€10M,€85K,1427
192448,Germany,M. ter Stegen,['30'],88,89,FC Barcelona,€68.5M,€210K,1443
182521,Germany,T. Kroos,['32'],88,88,Real Madrid,€72M,€310K,2147
177003,Croatia,L. Modrić,['36'],88,88,Real Madrid,€29M,€230K,2257
231866,Spain,Rodri,['26'],87,89,Manchester City,€88.5M,€200K,2133
228702,Netherlands,F. de Jong,['25'],87,92,FC Barcelona,€116.5M,€230K,2238
216267,Scotland,A. Robertson,['28'],87,87,Liverpool,€72M,€185K,2154
215698,France,M. Maignan,['26'],87,90,Milan,€80M,€90K,1496
209658,Germany,L. Goretzka,['27'],87,88,FC Bayern München,€91M,€115K,2312
205452,Germany,A. Rüdiger,['29'],87,88,Real Madrid,€73.5M,€250K,2011
201024,Senegal,K. Koulibaly,['31'],87,87,Chelsea,€54.5M,€175K,1914
199556,Italy,M. Verratti,['29'],87,87,Paris Saint Germain,€77.5M,€155K,2190
193080,Spain,De Gea,['31'],87,87,Manchester United,€42M,€150K,1415
189596,Germany,T. Müller,['32'],87,87,FC Bayern München,€63M,€115K,2140
167948,France,H. Lloris,['35'],87,87,Tottenham Hotspur,€9M,€80K,1390
238794,Brazil,Vinícius Jr.,['21'],86,92,Real Madrid,€109M,€200K,1985
234642,Senegal,É. Mendy,['30'],86,87,Chelsea,€51M,€130K,1234
232411,France,C. Nkunku,['24'],86,89,RB Leipzig,€94M,€90K,2183
232363,Slovakia,M. Škriniar,['27'],86,87,Inter,€68.5M,€105K,1861
231478,Argentina,L. Martínez,['24'],86,90,Inter,€98.5M,€110K,2163
231281,England,T. Alexander-Arnold,['23'],86,89,Liverpool,€86M,€140K,2228
224232,Italy,N. Barella,['25'],86,89,Inter,€89.5M,€110K,2296
223848,Serbia,S. Milinković-Savić,['27'],86,87,Lazio,€77.5M,€90K,2250
216352,Croatia,M. Brozović,['29'],86,86,Inter,€58M,€110K,2227
213345,France,K. Coman,['26'],86,87,FC Bayern München,€80M,€105K,1979
212218,Spain,A. Laporte,['28'],86,87,Manchester City,€64.5M,€195K,1962
212198,Portugal,Bruno Fernandes,['27'],86,86,Manchester United,€72.5M,€190K,2305
211110,Argentina,P. Dybala,['28'],86,86,Roma,€69.5M,€130K,2108
209499,Brazil,Fabinho,['28'],86,86,Liverpool,€59.5M,€170K,2157
204485,Algeria,R. Mahrez,['31'],86,86,Manchester City,€56.5M,€220K,2057
202652,England,R. Sterling,['27'],86,86,Chelsea,€72.5M,€195K,2101
197445,Austria,D. Alaba,['30'],86,86,Real Madrid,€55.5M,€220K,2277
192505,Belgium,R. Lukaku,['29'],86,86,Inter,€68M,€200K,2034
192387,Italy,C. Immobile,['32'],86,86,Lazio,€55M,€100K,2060
189513,Spain,Parejo,['33'],86,86,Villarreal,€42M,€64K,2162
189509,Spain,Thiago,['31'],86,86,Liverpool,€55.5M,€180K,2224
188943,Germany,K. Trapp,['31'],86,86,Eintracht Frankfurt,€36M,€43K,1254
186153,Poland,W. Szczęsny,['32'],86,86,Juventus,€33.5M,€125K,1314
177683,Switzerland,Y. Sommer,['33'],86,86,Borussia Mönchengladbach,€22M,€43K,1358
164240,Brazil,Thiago Silva,['37'],86,86,Chelsea,€12M,€115K,2012
251854,Spain,Pedri,['19'],85,92,FC Barcelona,€104.5M,€115K,2112
239053,Uruguay,F. Valverde,['23'],85,90,Real Madrid,€81M,€190K,2227
237692,England,P. Foden,['22'],85,92,Manchester City,€109.5M,€180K,2084
235243,Netherlands,M. de Ligt,['22'],85,89,FC Bayern München,€71M,€77K,1977
232656,France,T. Hernández,['24'],85,90,Milan,€76M,€82K,2195
224458,Portugal,Diogo Jota,['25'],85,89,Liverpool,€76M,€170K,2183
224334,Argentina,M. Acuña,['30'],85,85,Sevilla,€46.5M,€46K,2303
216594,France,N. Fekir,['28'],85,85,Real Betis,€54.5M,€48K,2128
212190,Germany,N. Süle,['26'],85,87,Borussia Dortmund,€59M,€72K,1843
208574,Serbia,F. Kostić,['29'],85,85,Juventus,€53M,€165K,2236
208418,Belgium,Y. Carrasco,['28'],85,85,Atlético Madrid,€54.5M,€90K,2153
208093,Spain,Gerard Moreno,['30'],85,85,Villarreal,€53M,€64K,2109
205498,Italy,Jorginho,['30'],85,85,Chelsea,€51.5M,€165K,2128
202556,Netherlands,M. Depay,['28'],85,85,FC Barcelona,€55M,€230K,2089
195864,France,P. Pogba,['29'],85,85,Juventus,€52.5M,€165K,2170
192629,Spain,Iago Aspas,['34'],85,85,Celta de Vigo,€26M,€50K,2069
189511,Spain,Sergio Busquets,['33'],85,85,FC Barcelona,€26.5M,€190K,2002
189332,Spain,Jordi Alba,['33'],85,85,FC Barcelona,€28M,€190K,2218
188567,Gabon,P. Aubameyang,['33'],85,85,Chelsea,€34.5M,€180K,2022
188377,England,K. Walker,['32'],85,85,Manchester City,€37.5M,€170K,2196
188350,Germany,M. Reus,['33'],85,85,Borussia Dortmund,€33.5M,€78K,2153
186942,Germany,İ. Gündoğan,['31'],85,85,Manchester City,€44M,€185K,2196
185122,Hungary,P. Gulácsi,['32'],85,85,RB Leipzig,€26.5M,€65K,1305
252371,England,J. Bellingham,['19'],84,91,Borussia Dortmund,€81.5M,€41K,2183
246430,Serbia,D. Vlahović,['22'],84,91,Juventus,€86.5M,€140K,1951
241852,France,M. Diaby,['22'],84,88,Bayer 04 Leverkusen,€61.5M,€70K,1958
241721,Portugal,Rafael Leão,['23'],84,90,Milan,€66.5M,€90K,1971
241486,France,J. Koundé,['23'],84,89,FC Barcelona,€57.5M,€150K,1926
241096,Italy,S. Tonali,['22'],84,90,Milan,€62.5M,€75K,2225
241084,Colombia,L. Díaz,['25'],84,87,Liverpool,€56M,€155K,2049
240130,Brazil,Éder Militão,['24'],84,89,Real Madrid,€57.5M,€160K,2043
238074,England,R. James,['22'],84,88,Chelsea,€57M,€120K,2261
237383,Italy,A. Bastoni,['23'],84,90,Inter,€60.5M,€75K,1890
235805,Italy,F. Chiesa,['24'],84,87,Juventus,€57.5M,€140K,2073
235790,Germany,K. Havertz,['23'],84,91,Chelsea,€84.5M,€130K,2042
235212,Morocco,A. Hakimi,['23'],84,87,Paris Saint Germain,€53.5M,€90K,2229
235073,Switzerland,G. Kobel,['24'],84,88,Borussia Dortmund,€48M,€44K,1258
234396,Canada,A. Davies,['21'],84,89,FC Bayern München,€60.5M,€59K,2170
234378,England,D. Rice,['23'],84,87,West Ham United,€52M,€83K,2075
234236,Czech Republic,P. Schick,['26'],84,86,Bayer 04 Leverkusen,€53M,€88K,1989
233064,England,M. Mount,['23'],84,87,Chelsea,€57.5M,€130K,2121
233049,England,J. Sancho,['22'],84,88,Manchester United,€61.5M,€155K,1961
232756,England,F. Tomori,['24'],84,90,Milan,€60.5M,€75K,1875
230938,Côte d'Ivoire,F. Kessié,['25'],84,86,FC Barcelona,€47.5M,€165K,2206
230142,Spain,Oyarzabal,['25'],84,86,Real Sociedad,€53M,€57K,2044
228251,Italy,L. Pellegrini,['26'],84,87,Roma,€55M,€95K,2258
226790,Nigeria,W. Ndidi,['25'],84,86,Leicester City,€47.5M,€105K,2083
226161,Spain,Marcos Llorente,['27'],84,85,Atlético Madrid,€48M,€81K,2242
222665,Norway,M. Ødegaard,['23'],84,89,Arsenal,€63.5M,€105K,2112
222492,Germany,L. Sané,['26'],84,85,FC Bayern München,€49.5M,€90K,2087
220814,France,L. Hernández,['26'],84,86,FC Bayern München,€46M,€82K,2016
216393,Belgium,Y. Tielemans,['25'],84,86,Leicester City,€52.5M,€115K,2169
213648,Denmark,P. Højbjerg,['26'],84,86,Tottenham Hotspur,€47M,€120K,2122
212616,Argentina,R. De Paul,['28'],84,84,Atlético Madrid,€42M,€85K,2237
210935,Italy,D. Berardi,['27'],84,84,Sassuolo,€45M,€57K,2062
209989,Ghana,T. Partey,['29'],84,84,Arsenal,€36M,€115K,2141
209981,Morocco,Y. Bounou,['31'],84,84,Sevilla,€22.5M,€34K,1262
208830,England,J. Vardy,['35'],84,84,Leicester City,€18M,€100K,2102
208128,Turkey,H. Çalhanoğlu,['28'],84,84,Inter,€42M,€100K,2172
207410,Croatia,M. Kovačić,['28'],84,84,Chelsea,€42M,€155K,2142
206517,England,J. Grealish,['26'],84,84,Manchester City,€46M,€185K,2017
206113,Germany,S. Gnabry,['26'],84,84,FC Bayern München,€46M,€90K,2047
204963,Spain,Carvajal,['30'],84,84,Real Madrid,€36.5M,€185K,2105
204639,Montenegro,S. Savić,['31'],84,84,Atlético Madrid,€29M,€74K,1754
202811,Argentina,E. Martínez,['29'],84,84,Aston Villa,€29M,€95K,1457
201535,France,R. Varane,['29'],84,85,Manchester United,€39M,€155K,1910
199451,France,W. Ben Yedder,['31'],84,84,Monaco,€35.5M,€88K,2102
198219,Italy,L. Insigne,['31'],84,84,Toronto,€35M,€19K,2005
198176,Netherlands,S. de Vrij,['30'],84,84,Inter,€34.5M,€88K,1873
197061,Cameroon,J. Matip,['30'],84,84,Liverpool,€34.5M,€140K,1899
192984,Belgium,K. Casteels,['30'],84,85,VfL Wolfsburg,€31.5M,€55K,1301
190286,Spain,Canales,['31'],84,84,Real Betis,€35M,€42K,2217
189575,Spain,Muniain,['29'],84,84,Athletic Club,€41.5M,€49K,2088
186345,England,K. Trippier,['31'],84,84,Newcastle United,€30.5M,€120K,2186
184344,Italy,L. Bonucci,['35'],84,84,Juventus,€11M,€95K,1938
183898,Argentina,Á. Di María,['34'],84,84,Juventus,€20M,€160K,2148
183277,Belgium,E. Hazard,['31'],84,84,Real Madrid,€35M,€220K,2045
180930,Bosnia and Herzegovina,E. Džeko,['36'],84,84,Inter,€14.5M,€80K,1954
178603,Germany,M. Hummels,['33'],84,84,Borussia Dortmund,€20M,€66K,2022
176580,Uruguay,L. Suárez,['35'],84,84,Nacional,€18M,€1K,2231
175943,Belgium,D. Mertens,['35'],84,84,Galatasaray,€18M,€86K,1984
155862,Spain,Sergio Ramos,['36'],84,84,Paris Saint Germain,€7.5M,€75K,2137
143076,Argentina,A. Gómez,['34'],84,84,Sevilla,€20M,€47K,2035
138956,Italy,G. Chiellini,['37'],84,84,Los Angeles FC,€7.5M,€11K,1815
253163,Uruguay,R. Araujo,['23'],83,89,FC Barcelona,€52M,€135K,1905
242516,Netherlands,C. Gakpo,['23'],83,87,PSV,€52M,€29K,2054
242444,Portugal,João Félix,['22'],83,89,Atlético Madrid,€59M,€71K,2102
241637,France,A. Tchouaméni,['22'],83,89,Real Madrid,€53.5M,€145K,2145
241464,Spain,Pau Torres,['25'],83,89,Villarreal,€50.5M,€43K,1891
239580,Brazil,Bremer,['25'],83,87,Juventus,€45.5M,€115K,1879
234153,Spain,Carlos Soler,['25'],83,88,Paris Saint Germain,€53M,€100K,2183
233419,Brazil,Raphinha,['25'],83,86,FC Barcelona,€48M,€180K,2129
232488,Argentina,C. Romero,['24'],83,88,Tottenham Hotspur,€49.5M,€95K,1872
232293,Nigeria,V. Osimhen,['23'],83,89,Napoli,€58M,€72K,1999
231443,France,O. Dembélé,['25'],83,86,FC Barcelona,€48M,€180K,2002
230869,Spain,Unai Simón,['25'],83,86,Athletic Club,€37M,€30K,1311
230666,Brazil,Gabriel Jesus,['25'],83,86,Arsenal,€48.5M,€115K,2094
230481,Brazil,Ronaldo Cabrais,['30'],83,83,Palmeiras,€35M,€59K,2098
228618,France,F. Mendy,['27'],83,84,Real Madrid,€38M,€170K,2158
226271,Spain,Fabián Ruiz,['26'],83,85,Paris Saint Germain,€44.5M,€105K,2125
225850,France,P. Kimpembe,['26'],83,86,Paris Saint Germain,€42M,€95K,1943
225375,Austria,K. Laimer,['25'],83,84,RB Leipzig,€38.5M,€64K,2156
225193,Spain,Merino,['26'],83,86,Real Sociedad,€47M,€49K,2247
224293,Portugal,Rúben Neves,['25'],83,86,Wolverhampton Wanderers,€47.5M,€105K,2174
220834,Spain,Marco Asensio,['26'],83,84,Real Madrid,€43M,€200K,2036
220697,England,J. Maddison,['25'],83,85,Leicester City,€45.5M,€105K,2112
220651,Spain,Angeliño,['25'],83,85,TSG Hoffenheim,€42M,€64K,2209
219693,Brazil,Diego Carlos,['29'],83,83,Aston Villa,€30.5M,€105K,1915
216460,Uruguay,J. Giménez,['27'],83,85,Atlético Madrid,€38.5M,€68K,1826
215333,Colombia,D. Zapata,['31'],83,83,Atalanta,€30.5M,€77K,1928
214997,Argentina,Á. Correa,['27'],83,84,Atlético Madrid,€42.5M,€80K,2145
213565,France,T. Lemar,['26'],83,86,Atlético Madrid,€47M,€74K,2214
210406,Poland,P. Zieliński,['28'],83,83,Napoli,€36.5M,€78K,2132
210315,Spain,Raúl de Tomás,['27'],83,83,Rayo Vallecano,€39.5M,€37K,2102
208670,Morocco,H. Ziyech,['29'],83,83,Chelsea,€35.5M,€155K,2073
203574,England,J. Stones,['28'],83,84,Manchester City,€34.5M,€150K,1966
201942,Brazil,Roberto Firmino,['30'],83,83,Liverpool,€35.5M,€150K,2160
199434,Serbia,D. Tadić,['33'],83,83,Ajax,€22.5M,€30K,2094
198706,Spain,Luis Alberto,['29'],83,83,Lazio,€35.5M,€74K,1982
194765,France,A. Griezmann,['31'],83,83,Atlético Madrid,€30.5M,€80K,2240
193747,Spain,Koke,['30'],83,83,Atlético Madrid,€34.5M,€74K,2191
193698,Germany,O. Baumann,['32'],83,83,TSG Hoffenheim,€18M,€40K,1267
184134,Brazil,Fernando,['34'],83,83,Sevilla,€12.5M,€39K,2045
181458,Croatia,I. Perišić,['33'],83,83,Tottenham Hotspur,€22.5M,€120K,2236
168542,Spain,David Silva,['36'],83,83,Real Sociedad,€12M,€37K,2015
163587,Denmark,K. Schmeichel,['35'],83,83,Nice,€4M,€31K,1339
162835,Slovenia,S. Handanovič,['37'],83,83,Inter,€4M,€42K,1259
146536,Spain,Jesús Navas,['36'],83,83,Sevilla,€8M,€28K,2169
256790,Germany,J. Musiala,['19'],82,91,FC Bayern München,€66M,€43K,2011
256630,Germany,F. Wirtz,['19'],82,91,Bayer 04 Leverkusen,€66M,€38K,1994
255475,Brazil,Antony,['22'],82,88,Manchester United,€49M,€130K,2023
253072,Uruguay,D. Núñez,['23'],82,89,Liverpool,€61.5M,€120K,2062
247851,Brazil,Bruno Guimarães,['24'],82,87,Newcastle United,€46M,€95K,2127
247819,Germany,N. Schlotterbeck,['22'],82,88,Borussia Dortmund,€44.5M,€47K,1975
246669,England,B. Saka,['20'],82,89,Arsenal,€60.5M,€76K,2102
244260,Spain,Dani Olmo,['24'],82,87,RB Leipzig,€46M,€59K,2034
241461,Spain,Ferran Torres,['22'],82,88,FC Barcelona,€49M,€150K,2030
236401,Morocco,N. Mazraoui,['24'],82,86,FC Bayern München,€40.5M,€59K,2105
236276,Netherlands,A. Danjuma,['25'],82,83,Villarreal,€37M,€47K,2066
233934,England,A. Ramsdale,['24'],82,86,Arsenal,€34.5M,€62K,1396
233927,Brazil,Lucas Paquetá,['24'],82,87,West Ham United,€46M,€77K,2185
233096,Netherlands,D. Dumfries,['26'],82,84,Inter,€34.5M,€73K,2061
231969,Ukraine,R. Malinovskyi,['29'],82,82,Atalanta,€30.5M,€73K,2213
231352,England,T. Abraham,['24'],82,86,Roma,€44M,€77K,1926
230375,Brazil,Josué Chiamulera,['30'],82,82,Athletico PR,€25M,€23K,1885
230182,Brazil,Lucas Mantela,['22'],82,82,Palmeiras,€27M,€33K,1297
229984,England,B. Chilwell,['25'],82,85,Chelsea,€37M,€110K,2106
228941,Portugal,André Silva,['26'],82,84,RB Leipzig,€38M,€73K,2067
227796,United States,C. Pulisic,['23'],82,88,Chelsea,€48M,€120K,1950
227127,Spain,Álex Remiro,['27'],82,84,Real Sociedad,€28M,€34K,1296
226754,Algeria,I. Bennacer,['24'],82,86,Milan,€40M,€63K,2213
226753,Cameroon,A. Onana,['26'],82,85,Inter,€30.5M,€59K,1468
226221,Spain,Aritz Elustondo,['28'],82,83,Real Sociedad,€29M,€43K,1820
224411,Portugal,Gonçalo Guedes,['25'],82,85,Wolverhampton Wanderers,€41M,€105K,2034
224179,Spain,Borja Iglesias,['29'],82,82,Real Betis,€30.5M,€39K,1935
223952,Spain,David Soria,['29'],82,82,Getafe,€21M,€32K,1279
223697,Germany,R. Gosens,['27'],82,82,Inter,€29.5M,€59K,2193
222077,Italy,M. Locatelli,['24'],82,86,Juventus,€40M,€37K,2101
217870,Italy,G. Di Lorenzo,['28'],82,82,Napoli,€27.5M,€66K,2135
216547,Portugal,Rafa,['29'],82,82,Benfica,€30.5M,€24K,2025
216354,Croatia,A. Kramarić,['31'],82,82,TSG Hoffenheim,€25.5M,€54K,2041
215316,Argentina,G. Rulli,['30'],82,82,Villarreal,€20.5M,€34K,1336
213661,Denmark,A. Christensen,['26'],82,86,FC Barcelona,€37.5M,€145K,1775
212523,Brazil,Anderson Talisca,['28'],82,82,Al Nassr,€31M,€64K,2152
212194,Germany,J. Brandt,['26'],82,85,Borussia Dortmund,€40M,€60K,2028
212188,Germany,T. Werner,['26'],82,84,RB Leipzig,€38M,€73K,1995
211688,Spain,Gayà,['27'],82,83,Valencia,€32M,€44K,2090
210411,Portugal,Otávio,['27'],82,82,Porto,€32.5M,€21K,2123
210243,Portugal,Ricardo Pereira,['28'],82,82,Leicester City,€27.5M,€100K,2165
210035,Spain,Grimaldo,['26'],82,83,Benfica,€33M,€19K,2189
209889,Portugal,R. Guerreiro,['28'],82,82,Borussia Dortmund,€27.5M,€57K,2177
208333,Germany,E. Can,['28'],82,82,Borussia Dortmund,€30.5M,€63K,2274
207862,Germany,M. Ginter,['28'],82,83,SC Freiburg,€29M,€40K,1948
205693,Côte d'Ivoire,S. Haller,['28'],82,82,Borussia Dortmund,€31M,€68K,1947
204935,England,J. Pickford,['28'],82,84,Everton,€26M,€45K,1503
204638,Hungary,W. Orban,['29'],82,82,RB Leipzig,€25.5M,€65K,1697
204525,Spain,Iñigo Martínez,['31'],82,82,Athletic Club,€21M,€35K,1992
203841,England,N. Pope,['30'],82,82,Newcastle United,€20.5M,€81K,1288
202884,Italy,L. Spinazzola,['29'],82,82,Roma,€27M,€77K,2102
202648,Spain,Sergi Darder,['28'],82,82,Espanyol,€30.5M,€30K,2187
201455,Central African Republic,G. Kondogbia,['29'],82,82,Atlético Madrid,€29.5M,€71K,2182
