Nationality;Position;Player;Club;Age;Caps;Overall
Mexico;Midfielder;Gerardo Torrado;Cruz Azul;31;114;74
Mexico;Forward;Guillermo Franco;West Ham United;33;21;74
Mexico;Forward;Cuauhtemoc Blanco;Veracruz;37;115;80
South Africa;Midfielder;MacBeth Sibaya;Rubin Kazan;32;58;71
South Africa;Defender;Matthew Booth;Mamelodi Sundowns;33;27;72
South Africa;Forward;Siyabonga Nomvethe;Moroka Swallows;32;76;NA
South Africa;Midfielder;Surprise Moriri;Mamelodi Sundowns;30;34;NA
South Africa;Goalkeeper;Shu-Aib Walters;Maritzburg United;28;0;NA
Uruguay;Midfielder;Diego Perez;Monaco;30;50;70
Argentina;Goalkeeper;Diego Pozo;Colon;32;3;NA
Argentina;Defender;Ariel Garce;Colon;30;4;NA
Greece;Defender;Christos Patsatzoglou;Omonia;31;43;71
Greece;Defender;Avraam Papadopoulos;Olympiacos;25;14;76
Greece;Forward;Dimitris Salpingidis;Panathinaikos;28;36;77
Greece;Midfielder;Sakis Prittas;Aris;31;0;NA
Nigeria;Goalkeeper;Vincent Enyeama;Hapoel Tel Aviv;27;51;NA
Nigeria;Forward;John Utaka;Portsmouth;28;41;77
Nigeria;Midfielder;Ayila Yussuf;Dynamo Kyiv;25;24;NA
Nigeria;Midfielder;Sani Kaita;Alania Vladikavkaz;24;16;68
Nigeria;Goalkeeper;Austin Ejide;Hapoel Petah Tikva;26;16;NA
Nigeria;Defender;Dele Adeleye;Sparta Rotterdam;21;5;66
Nigeria;Goalkeeper;Dele Aiyenugba;Bnei Yehuda;26;9;NA
South Korea;Defender;Lee Young-pyo;Al Hilal;33;112;NA
Algeria;Goalkeeper;Lounes Gaouaoui;ASO Chlef;32;48;NA
Algeria;Defender;Nadir Belhadj;Portsmouth;27;45;74
Algeria;Midfielder;Yazid Mansouri;Lorient;32;67;69
Algeria;Forward;Rafik Saifi;Istres;35;62;NA
Algeria;Defender;Abdelkader Laifaoui;ES Setif;28;7;NA
Algeria;Goalkeeper;Faouzi Chaouchi;ES Setif;25;10;NA
Algeria;Midfielder;Djamel Abdoun;Nantes;24;7;68
Slovenia;Goalkeeper;Samir Handanovic;Udinese;25;39;80
Slovenia;Defender;Suad Filekovic;Maribor;31;14;NA
Slovenia;Midfielder;Andrej Komac;Maccabi Tel Aviv;30;41;64
USA;Defender;Oguchi Onyewu;Milan;28;54;77
Australia;Defender;Craig Moore;Unattached;34;50;67
Australia;Midfielder;Brett Emerton;Blackburn Rovers;31;72;76
Australia;Defender;Mark Milligan;JEF United;24;10;NA
Australia;Midfielder;Mark Bresciano;Palermo;30;55;76
Germany;Forward;Stefan Kie?ling;Bayer Leverkusen;26;4;80
Ghana;Goalkeeper;Daniel Agyei;Liberty Professionals;20;2;63
Ghana;Defender;John Paintsil;Fulham;28;65;NA
Ghana;Defender;Samuel Inkoom;Basel;21;15;60
Ghana;Forward;Prince Tagoe;1899 Hoffenheim;23;17;72
Ghana;Goalkeeper;Stephen Ahorlu;Heart of Lions;21;0;NA
Ghana;Forward;Dominic Adiyiah;Milan;20;4;55
Ghana;Defender;Lee Addy;Bechem Chelsea;24;3;NA
Serbia;Goalkeeper;Vladimir Stojkovic;Wigan Athletic;26;33;NA
Serbia;Midfielder;Milos Ninkovic;Dynamo Kyiv;25;9;NA
Serbia;Midfielder;Radosav Petrovic;Partizan;21;9;NA
Serbia;Forward;Dragan Mrda;Vojvodina;26;6;72
Cameroon;Defender;Nicolas Nkoulou;Monaco;20;6;69
Cameroon;Defender;Rigobert Song;Trabzonspor;33;133;79
Cameroon;Forward;Mohammadou Idrissou;SC Freiburg;30;28;NA
Cameroon;Defender;Stephane Mbia;Marseille;24;29;NA
Denmark;Midfielder;Martin Jorgensen;AGF;34;96;75
Japan;Goalkeeper;Seigo Narazaki;Nagoya Grampus;34;76;NA
Japan;Defender;Yuichi Komano;Jubilo Iwata;28;53;NA
Japan;Defender;Marcus Tulio Tanaka;Nagoya Grampus;29;39;NA
Japan;Midfielder;Yasuhito Endo;Gamba Osaka;30;94;NA
Japan;Midfielder;Shunsuke Nakamura;Yokohama F. Marinos;31;97;81
Japan;Forward;Keiji Tamada;Nagoya Grampus;30;70;NA
Japan;Defender;Daiki Iwamasa;Kashima Antlers;28;2;NA
Japan;Midfielder;Kengo Nakamura;Kawasaki Frontale;29;47;NA
Japan;Defender;Yasuyuki Konno;FC Tokyo;27;37;NA
