Nationality;Position;Player;Club;Age;Caps;Overall
Costa Rica;Goalkeeper;Alvaro Mesen;Herediano;33;38;NA
Costa Rica;Defender;Jervis Drummond;Saprissa;29;56;NA
Costa Rica;Defender;Luis Marin;Alajuelense;31;120;NA
Costa Rica;Defender;Michael Umana;Brujas;23;18;62
Costa Rica;Defender;Gilberto Martinez;Brescia;26;57;64
Costa Rica;Midfielder;Danny Fonseca;Cartagines;26;22;NA
Costa Rica;Midfielder;Christian Bolanos;Saprissa;22;16;NA
Costa Rica;Midfielder;Mauricio Solis;Comunicaciones;33;107;69
Costa Rica;Forward;Paulo Wanchope;Herediano;29;69;67
Costa Rica;Midfielder;Walter Centeno;Saprissa;31;93;73
Costa Rica;Forward;Ronald Gomez;Saprissa;31;80;64
Costa Rica;Defender;Leonardo Gonzalez;Herediano;25;36;70
Costa Rica;Forward;Kurt Bernard;Puntarenas;28;3;NA
Costa Rica;Midfielder;Randall Azofeifa;Saprissa;21;5;NA
Costa Rica;Defender;Harold Wallace;Alajuelense;30;78;NA
Costa Rica;Midfielder;Carlos Hernandez;Alajuelense;24;17;NA
Costa Rica;Defender;Gabriel Badilla;Saprissa;21;7;NA
Costa Rica;Goalkeeper;Jose Francisco Porras;Saprissa;35;16;68
Costa Rica;Midfielder;Douglas Sequeira;Real Salt Lake;28;29;69
Costa Rica;Forward;Victor Nunez;Cartagines;26;3;NA
Costa Rica;Defender;Michael Rodriguez;Alajuelense;24;3;NA
Costa Rica;Goalkeeper;Wardy Alfaro;Alajuelense;28;2;NA
Ecuador;Goalkeeper;Cristian Mora;LDU Quito;26;8;65
Ecuador;Defender;Paul Ambrosi;LDU Quito;25;24;66
Ecuador;Forward;Carlos Tenorio;Al Sadd;27;29;64
Germany;Defender;Jens Nowotny;Bayer Leverkusen;32;46;85
Poland;Defender;Seweryn Gancarczyk;Metalist Kharkiv;24;2;62
Poland;Defender;Jacek Bak;Al-Rayyan;33;72;76
England;Defender;Sol Campbell;Arsenal;31;68;90
Paraguay;Defender;Carlos Gamarra;Palmeiras;35;106;84
Paraguay;Midfielder;Roberto Acuna;Deportivo La Coruna;34;93;NA
Trinidad and Tobago;Defender;Marvin Andrews;Rangers;30;98;75
Trinidad and Tobago;Defender;Cyd Gray;San Juan Jabloteh;29;39;NA
Trinidad and Tobago;Midfielder;Aurtis Whitley;San Juan Jabloteh;29;24;NA
Trinidad and Tobago;Midfielder;Evans Wise;Waldhof Mannheim;32;16;NA
Trinidad and Tobago;Defender;David Atiba Charles;W Connection;28;19;NA
Trinidad and Tobago;Midfielder;Densill Theobald;Falkirk;23;38;NA
Trinidad and Tobago;Forward;Jason Scotland;St. Johnstone;27;25;NA
Trinidad and Tobago;Midfielder;Anthony Wolfe;San Juan Jabloteh;22;4;NA
Ivory Coast;Goalkeeper;Jean-Jacques Tizie;Esperance de Tunis;33;24;NA
Ivory Coast;Defender;Marco Zoro;Messina;22;13;67
Ivory Coast;Defender;Cyril Domoraud;Creteil;34;50;78
Ivory Coast;Goalkeeper;Boubacar Barry;Beveren;26;6;68
Serbia;Goalkeeper;Dragoslav Jevric;Ankaraspor;31;40;NA
Serbia;Defender;Goran Gavrancic;Dynamo Kyiv;27;25;NA
Serbia;Midfielder;Predrag Dordevic;Olympiacos;33;34;NA
Serbia;Defender;Dusan Basta;Red Star Belgrade;21;2;NA
Serbia;Defender;Nenad Dordevic;Partizan;26;15;NA
Serbia;Defender;Dusan Petkovic;OFK Beograd;31;7;NA
Serbia;Midfielder;Albert Nad;Partizan;31;42;NA
Angola;Goalkeeper;Joao Ricardo;Moreirense;36;26;NA
Angola;Defender;Marco Airosa;Barreirense;21;2;NA
Angola;Defender;Jamba;ASA;28;35;NA
Angola;Defender;Lebo Lebo;Petro Atletico;29;15;NA
Angola;Midfielder;Miloy;Interclube;25;11;NA
Angola;Midfielder;Andre Macanga;Al-Salmiya;28;33;NA
Angola;Forward;Akwa;Al-Wakrah;29;77;NA
Angola;Forward;Mateus;Gil Vicente;21;4;NA
Angola;Goalkeeper;Lama;Petro Atletico;25;9;NA
Angola;Midfielder;Mendonca;Varzim;23;34;NA
Angola;Forward;Flavio;Al Ahly;26;46;NA
Angola;Midfielder;Ze Kalanga;Petro Atletico;22;23;NA
Angola;Forward;Love;ASA;27;35;NA
Angola;Defender;Loco;Primeiro Agosto;21;11;NA
Angola;Defender;Delgado;Petro Atletico;26;17;67
Angola;Goalkeeper;Mario Hipolito;Interclube;21;1;NA
Angola;Defender;Marco Abreu;Portimonense;31;3;NA
IR Iran;Goalkeeper;Ebrahim Mirzapour;Foolad;27;64;NA
IR Iran;Defender;Sohrab Bakhtiarizadeh;Saba Battery;32;31;NA
IR Iran;Defender;Yahya Golmohammadi;Saba Battery;35;69;NA
IR Iran;Midfielder;Ferydoon Zandi;1. FC Kaiserslautern;27;10;80
IR Iran;Forward;Ali Daei;Saba Battery;37;147;NA
IR Iran;Forward;Rasoul Khatibi;Sepahan;27;12;NA
IR Iran;Goalkeeper;Hassan Roudbarian;Pas;27;3;NA
IR Iran;Defender;Hossein Kaebi;Foolad;20;44;NA
IR Iran;Forward;Arash Borhani;Pas;22;20;NA
IR Iran;Forward;Reza Enayati;Esteghlal;29;15;NA
IR Iran;Forward;Javad Kazemian;Persepolis;25;25;NA
IR Iran;Midfielder;Moharram Navidkia;VfL Bochum;23;24;62
IR Iran;Defender;Amir Hossein Sadeghi;Esteghlal;24;1;NA
IR Iran;Defender;Mohammad Nosrati;Pas;24;44;NA
IR Iran;Midfielder;Mehrzad Madanchi;Persepolis;23;6;NA
IR Iran;Goalkeeper;Vahid Talebloo;Esteghlal;24;1;NA
IR Iran;Midfielder;Masoud Shojaei;Saipa;22;3;NA
Mexico;Midfielder;Sinha;Toluca;30;32;72
Mexico;Forward;Guillermo Franco;Villarreal;29;7;72
Portugal;Forward;Luis Boa Morte;Fulham;28;24;80
Portugal;Midfielder;Deco;Barcelona;28;35;87
Czech Republic;Defender;Pavel Mares;Zenit Saint Petersburg;30;10;70
Czech Republic;Defender;Radoslav Kovac;Spartak Moscow;26;6;NA
Czech Republic;Midfielder;Karel Poborsky;Dynamo Ceske Budejovice;34;115;75
Czech Republic;Defender;Martin Jiranek;Spartak Moscow;27;24;74
