"Nationality";"Position";"Player";"Club";"Age";"Caps";"Overall"
"Brazil";"Goalkeeper";"jefferson";"botafogo";31;9;NA
"Brazil";"Midfielder";"paulinho";"tottenham hotspur";25;26;NA
"Brazil";"Forward";"fred";"fluminense";30;33;NA
"Brazil";"Forward";"jo";"atletico mineiro";27;17;NA
"Brazil";"Goalkeeper";"victor";"atletico mineiro";31;6;NA
"Cameroon";"Goalkeeper";"loic feudjou";"coton sport";22;2;NA
"Cameroon";"Defender";"benoit assou-ekotto";"queens park rangers";30;22;NA
"Cameroon";"Defender";"henri bedimo";"lyon";30;31;NA
"Cameroon";"Forward";"pierre webo";"fenerbahce";32;56;NA
"Cameroon";"Midfielder";"stephane mbia";"sevilla";28;49;NA
"Cameroon";"Forward";"fabrice olinga";"zulte waregem";18;8;NA
"Cameroon";"Goalkeeper";"sammy ndjock";"fethiyespor";24;3;NA
"Croatia";"Midfielder";"ognjen vukojevic";"dynamo kyiv";30;55;NA
"Croatia";"Goalkeeper";"oliver zelenika";"lokomotiva";21;0;NA
"Croatia";"Midfielder";"sammir";"getafe";27;6;NA
"Croatia";"Defender";"domagoj vida";"dynamo kyiv";25;23;NA
"Croatia";"Forward";"eduardo";"shakhtar donetsk";31;63;NA
"Mexico";"Defender";"rafael marquez";"leon";35;120;NA
"Mexico";"Forward";"alan pulido";"uanl";23;6;NA
"Australia";"Midfielder";"mark bresciano";"al-gharafa";34;74;NA
"Chile";"Defender";"eugenio mena";"santos";25;25;NA
"Chile";"Forward";"mauricio pinilla";"cagliari";30;27;NA
"Chile";"Midfielder";"jorge valdivia";"palmeiras";30;57;NA
"Chile";"Defender";"gonzalo jara";"nottingham forest";28;65;NA
"Chile";"Midfielder";"charles aranguiz";"internacional";25;21;NA
"Netherlands";"Defender";"paul verhaegh";"fc augsburg";30;2;NA
"Colombia";"Midfielder";"carlos carbonero";"river plate";23;1;NA
"Colombia";"Defender";"pablo armero";"west ham united";27;53;NA
"Colombia";"Goalkeeper";"faryd mondragon";"deportivo cali";42;50;NA
"Greece";"Midfielder";"giorgos karagounis";"fulham";37;135;NA
"Ivory Coast";"Goalkeeper";"boubacar barry";"lokeren";34;77;NA
"Japan";"Defender";"masato morishige";"fc tokyo";27;10;NA
"Japan";"Midfielder";"yasuhito endo";"gamba osaka";34;144;NA
"Japan";"Goalkeeper";"shusaku nishikawa";"urawa red diamonds";27;13;NA
"Japan";"Forward";"yoshito okubo";"kawasaki frontale";32;57;NA
"Japan";"Midfielder";"toshihiro aoyama";"sanfrecce hiroshima";28;6;NA
"Japan";"Defender";"yasuyuki konno";"gamba osaka";31;81;NA
"Japan";"Midfielder";"hotaru yamaguchi";"cerezo osaka";23;12;NA
"Japan";"Defender";"masahiko inoha";"jubilo iwata";30;21;NA
"Japan";"Forward";"manabu saito";"yokohama f. marinos";24;5;NA
"Japan";"Goalkeeper";"shuichi gonda";"fc tokyo";25;2;NA
