"Nationality";"Position";"Player";"Club";"Age";"Caps";"Overall"
"Mexico";"Midfielder";"gerardo torrado";"cruz azul";31;"114";NA
"Mexico";"Forward";"guillermo franco";"west ham united";33;"21";NA
"Mexico";"Forward";"cuauhtemoc blanco";"veracruz";37;"115";NA
"South Africa";"Midfielder";"macbeth sibaya";"rubin kazan";32;"58";NA
"South Africa";"Defender";"matthew booth";"mamelodi sundowns";33;"27";NA
"South Africa";"Forward";"siyabonga nomvethe";"moroka swallows";32;"76";NA
"South Africa";"Midfielder";"surprise moriri";"mamelodi sundowns";30;"34";NA
"South Africa";"Goalkeeper";"shu-aib walters";"maritzburg united";28;"0";NA
"Uruguay";"Midfielder";"diego perez";"monaco";30;"50";NA
"Argentina";"Goalkeeper";"diego pozo";"colon";32;"3";NA
"Argentina";"Defender";"ariel garce";"colon";30;"4";NA
"Greece";"Defender";"christos patsatzoglou";"omonia";31;"43";NA
"Greece";"Defender";"avraam papadopoulos";"olympiacos";25;"14";NA
"Greece";"Forward";"dimitris salpingidis";"panathinaikos";28;"36";NA
"Greece";"Midfielder";"sakis prittas";"aris";31;"0";NA
"Nigeria";"Goalkeeper";"vincent enyeama";"hapoel tel aviv";27;"51";NA
"Nigeria";"Forward";"john utaka";"portsmouth";28;"41";NA
"Nigeria";"Midfielder";"ayila yussuf";"dynamo kyiv";25;"24";NA
"Nigeria";"Midfielder";"sani kaita";"alania vladikavkaz";24;"16";NA
"Nigeria";"Goalkeeper";"austin ejide";"hapoel petah tikva";26;"16";NA
"Nigeria";"Defender";"dele adeleye";"sparta rotterdam";21;"5";NA
"Nigeria";"Goalkeeper";"dele aiyenugba";"bnei yehuda";26;"9";NA
"South Korea";"Defender";"lee young-pyo";"al hilal";33;"112";NA
"Algeria";"Goalkeeper";"lounes gaouaoui";"aso chlef";32;"48";NA
"Algeria";"Defender";"nadir belhadj";"portsmouth";27;"45";NA
"Algeria";"Midfielder";"yazid mansouri";"lorient";32;"67";NA
"Algeria";"Forward";"rafik saifi";"istres";35;"62";NA
"Algeria";"Defender";"abdelkader laifaoui";"es setif";28;"7";NA
"Algeria";"Goalkeeper";"faouzi chaouchi";"es setif";25;"10";NA
"Algeria";"Midfielder";"djamel abdoun";"nantes";24;"7";NA
"Slovenia";"Goalkeeper";"samir handanovic";"udinese";25;"39";NA
"Slovenia";"Defender";"suad filekovic";"maribor";31;"14";NA
"Slovenia";"Midfielder";"andrej komac";"maccabi tel aviv";30;"41";NA
"USA";"Defender";"oguchi onyewu";"milan";28;"54";NA
"Australia";"Defender";"craig moore";"unattached";34;"50";NA
"Australia";"Midfielder";"brett emerton";"blackburn rovers";31;"72";NA
"Australia";"Defender";"mark milligan";"jef united";24;"10";NA
"Australia";"Midfielder";"mark bresciano";"palermo";30;"55";NA
"Germany";"Forward";"stefan kie?ling";"bayer leverkusen";26;"4";NA
"Ghana";"Goalkeeper";"daniel agyei";"liberty professionals";20;"2";NA
"Ghana";"Defender";"john paintsil";"fulham";28;"65";NA
"Ghana";"Defender";"samuel inkoom";"basel";21;"15";NA
"Ghana";"Forward";"prince tagoe";"1899 hoffenheim";23;"17";NA
"Ghana";"Goalkeeper";"stephen ahorlu";"heart of lions";21;"0";NA
"Ghana";"Forward";"dominic adiyiah";"milan";20;"4";NA
"Ghana";"Defender";"lee addy";"bechem chelsea";24;"3";NA
"Serbia";"Goalkeeper";"vladimir stojkovic";"wigan athletic";26;"33";NA
"Serbia";"Midfielder";"milos ninkovic";"dynamo kyiv";25;"9";NA
"Serbia";"Midfielder";"radosav petrovic";"partizan";21;"9";NA
"Serbia";"Forward";"dragan mrda";"vojvodina";26;"6";NA
"Cameroon";"Defender";"nicolas nkoulou";"monaco";20;"6";NA
"Cameroon";"Defender";"rigobert song";"trabzonspor";33;"133";NA
"Cameroon";"Forward";"mohammadou idrissou";"sc freiburg";30;"28";NA
"Cameroon";"Defender";"stephane mbia";"marseille";24;"29";NA
"Denmark";"Midfielder";"martin jorgensen";"agf";34;"96";NA
"Japan";"Goalkeeper";"seigo narazaki";"nagoya grampus";34;"76";NA
"Japan";"Defender";"yuichi komano";"jubilo iwata";28;"53";NA
"Japan";"Defender";"marcus tulio tanaka";"nagoya grampus";29;"39";NA
"Japan";"Midfielder";"yasuhito endo";"gamba osaka";30;"94";NA
"Japan";"Midfielder";"shunsuke nakamura";"yokohama f. marinos";31;"97";NA
"Japan";"Forward";"keiji tamada";"nagoya grampus";30;"70";NA
"Japan";"Defender";"daiki iwamasa";"kashima antlers";28;"2";NA
"Japan";"Midfielder";"kengo nakamura";"kawasaki frontale";29;"47";NA
"Japan";"Defender";"yasuyuki konno";"fc tokyo";27;"37";NA
"Japan";"Forward";"yoshito okubo";"vissel kobe";28;"49";NA
"Japan";"Midfielder";"junichi inamoto";"kawasaki frontale";30;"80";NA
"Japan";"Defender";"yuji nakazawa";"yokohama f. marinos";32;"105";NA
"Japan";"Goalkeeper";"yoshikatsu kawaguchi";"jubilo iwata";34;"116";NA
"Netherlands";"Defender";"giovanni van bronckhorst";"feyenoord";35;"97";NA
"Italy";"Defender";"fabio cannavaro";"juventus";36;"133";NA
"Italy";"Midfielder";"mauro camoranesi";"juventus";33;"53";NA
"New Zealand";"Midfielder";"andy barron";"team wellington";29;"11";NA
"New Zealand";"Goalkeeper";"james bannatyne";"team wellington";34;"3";NA
"Paraguay";"Defender";"claudio morel";"boca juniors";32;"25";NA
"Paraguay";"Defender";"denis caniza";"leon";35;"95";NA
"Paraguay";"Defender";"julio cesar caceres";"atletico mineiro";30;"59";NA
"Paraguay";"Defender";"carlos bonet";"olimpia";32;"60";NA
"Paraguay";"Goalkeeper";"diego barreto";"cerro porteno";28;"2";NA
"Paraguay";"Midfielder";"enrique vera";"ldu quito";31;"25";NA
"Paraguay";"Midfielder";"victor caceres";"libertad";25;"25";NA
"Paraguay";"Defender";"aureliano torres";"san lorenzo";27;"25";NA
"Paraguay";"Midfielder";"nestor ortigoza";"argentinos juniors";25;"3";NA
"Paraguay";"Goalkeeper";"aldo bobadilla";"independiente medellin";34;"18";NA
"Paraguay";"Forward";"rodolfo gamarra";"libertad";21;"2";NA
"Slovakia";"Midfielder";"zdeno strba";"skoda xanthi";34;"21";NA
"Slovakia";"Midfielder";"jan kozak";"timi?oara";30;"24";NA
"Slovakia";"Forward";"martin jakubko";"saturn moscow oblast";30;"24";NA
"Slovakia";"Goalkeeper";"dusan kuciak";"vaslui";25;"3";NA
"Brazil";"Defender";"gilberto";"cruzeiro";34;"33";NA
"Ivory Coast";"Goalkeeper";"boubacar barry";"lokeren";30;"45";NA
"Ivory Coast";"Midfielder";"emmanuel kone";"interna?ional";23;"12";NA
"Ivory Coast";"Forward";"aruna dindane";"portsmouth";29;"54";NA
"Ivory Coast";"Goalkeeper";"aristide zogbo";"maccabi netanya";28;"6";NA
"Ivory Coast";"Midfielder";"kader keita";"galatasaray";28;"55";NA
"Ivory Coast";"Goalkeeper";"daniel yeboah";"asec mimosas";25;"4";NA
"North Korea";"Goalkeeper";"ri myong-guk";"pyongyang city";23;"28";NA
"North Korea";"Defender";"cha jong-hyok";"amrokgang";24;"31";NA
"North Korea";"Defender";"ri jun-il";"sobaeksu";22;"26";NA
"North Korea";"Midfielder";"pak nam-chol";"april 25";24;"35";NA
"North Korea";"Defender";"ri kwang-chon";"april 25";24;"41";NA
"North Korea";"Forward";"kim kum-il";"april 25";22;"11";NA
"North Korea";"Forward";"an chol-hyok";"rimyongsu";22;"16";NA
"North Korea";"Defender";"ji yun-nam";"april 25";33;"23";NA
"North Korea";"Forward";"jong tae-se";"kawasaki frontale";26;"20";NA
"North Korea";"Forward";"hong yong-jo";"rostov";28;"40";NA
"North Korea";"Midfielder";"mun in-guk";"april 25";31;"42";NA
"North Korea";"Forward";"choe kum-chol";"april 25";23;"16";NA
"North Korea";"Defender";"pak chol-jin";"amrokgang";24;"34";NA
"North Korea";"Defender";"pak nam-chol";"amrokgang";21;"12";NA
"North Korea";"Midfielder";"kim yong-jun";"pyongyang city";26;"52";NA
"North Korea";"Defender";"nam song-chol";"april 25";28;"41";NA
"North Korea";"Midfielder";"an yong-hak";"omiya ardija";31;"24";NA
"North Korea";"Goalkeeper";"kim myong-gil";"amrokgang";25;"10";NA
"North Korea";"Midfielder";"ri chol-myong";"pyongyang city";22;"10";NA
"North Korea";"Goalkeeper";"kim myong-won";"amrokgang";26;"9";NA
"North Korea";"Defender";"ri kwang-hyok";"kyonggongop";22;"15";NA
"North Korea";"Midfielder";"kim kyong-il";"rimyongsu";21;"7";NA
"North Korea";"Defender";"pak sung-hyok";"sobaeksu";20;"3";NA
"Portugal";"Goalkeeper";"daniel fernandes";"iraklis";26;"2";NA
"Chile";"Midfielder";"rodrigo millar";"colo-colo";28;"19";NA
"Chile";"Forward";"esteban paredes";"colo-colo";29;"12";NA
"Chile";"Goalkeeper";"luis marin";"union espanola";27;"2";NA
"Honduras";"Goalkeeper";"ricardo canales";"motagua";28;"2";NA
"Honduras";"Defender";"johnny palacios";"olimpia";23;"4";NA
"Honduras";"Forward";"carlos pavon";"real espana";36;"98";NA
"Honduras";"Forward";"jerry palacios";"hangzhou greentown";27;"11";NA
"Honduras";"Forward";"david suazo";"genoa";30;"50";NA
"Honduras";"Defender";"boniek garcia";"olimpia";25;"42";NA
"Honduras";"Forward";"walter martinez";"marathon";28;"34";NA
"Honduras";"Defender";"mauricio sabillon";"hangzhou greentown";31;"25";NA
"Honduras";"Goalkeeper";"noel valladares";"olimpia";33;"71";NA
"Honduras";"Midfielder";"danilo turcios";"olimpia";32;"82";NA
"Honduras";"Midfielder";"amado guevara";"motagua";34;"133";NA
"Honduras";"Goalkeeper";"donis escober";"olimpia";29;"11";NA
"Honduras";"Defender";"sergio mendoza";"motagua";29;"46";NA
"Switzerland";"Midfielder";"valon behrami";"west ham united";25;"27";NA
